VI 5007 ,30,0
VI 5007 ,26,0
VI 3696 ,26,0
BRA 3797,103,0
BRA 3797,101,0
VI 5007 ,27,0
VI 3696 ,27,0
VI 6078 ,26,0
VI 6078 ,27,168
BRA 6852,24,0
BRA 6852,25,0
BRA 6852,103,0
BRA 6852,101,0
VI 2309 ,26,0
VI 2309 ,27,0
VI 9643 ,26,0
VI 9643 ,27,0
BRA 1242,24,0
VI 6695 ,27,0
BRA 1242,25,95
VI 6695 ,26,0
BRA 8220,24,0
BRA 8220,25,0
VI 5069 ,26,0
VI 5069 ,27,0
PI 4872 ,667,0
80NVM831,33,0
BRA 7812,24,0
AMB3714 ,205,0
AMB3714 ,204,0
BRA 7812,25,0
PI 9120 ,667,0
UBER 556,30,2
UBER 556,106,0
UBER 556,664,0
UBER 556,107,0
46VAX299,6,0
PI 6070 ,667,0
46VAX299,664,0
PI 9120 ,668,0
PI 6070 ,668,0
AMB2124 ,204,0
AMB2124 ,205,0
09UIR323,29,0
AMB3667 ,205,20
AMB1264 ,205,10
AMB1264 ,204,10
AMB3667 ,204,0
BRA 7089,24,0
BRA 8400,24,12
BRA 7089,6,0
BRA 7089,30,2
VI 5383 ,26,0
PI 5181 ,667,0
UBER 150,8,0
UBER 150,106,0
UBER 150,107,0
UBER 150,30,0
UBER 150,6,0
BRA 8501,24,0
BRA 2356,24,0
BRA 7010,24,100
BRA 8846,24,0
PI 5181 ,668,0
LSPD 249,210,0
BRA 8846,29,0
PI 4913 ,667,0
BRA 2356,206,0
BRA 2356,30,0
BRA 3764,24,131
24MWU116,206,0
PI 4913 ,668,0
BRA 4628,24,50
BRA 8501,25,180
BRA 8846,25,180
BRA 7010,25,80
BRA 2356,25,0
BRA 3764,25,50
BRA 7474,24,0
BRA 5950,24,0
BRA 5256,25,0
BRA 5256,24,0
VI 5227 ,26,0
49FDK310,29,0
BRA 7474,25,0
BRA 5950,25,0
VI 5227 ,27,0
86DJA958,8,0
BRA 4753,24,0
BRA 1377,24,0
BRA 5102,24,0
